question,ground_truth
"How do we delete customer data?","Customer data may be deleted under GDPR Article 17 following the Data Deletion Procedure and approval by the Data Protection Officer."
"Who reviews customer data deletion requests?","The Data Protection Officer reviews deletion requests for regulatory compliance."
"What is GDPR Article 17?","GDPR Article 17 establishes the right to erasure, also known as the right to be forgotten."
"What personal information does AcmeTech collect?","AcmeTech collects information such as name, email address, phone number, billing information, device information, and website usage information."
"Why does AcmeTech process customer data?","Customer data is processed for service delivery, customer support, billing, security monitoring, and legal compliance."
"Can customers request deletion of their personal data?","Yes, customers have the right to request deletion of their personal data under GDPR Article 17."
"What is the purpose of the Customer Privacy Policy?","The Customer Privacy Policy explains how AcmeTech collects, processes, and protects customer personal information."
"What is the purpose of the Data Deletion Procedure?","The procedure defines the process for handling requests to delete personal data while maintaining compliance with regulations and company policies."
"Who is responsible for documenting deletion requests?","The Customer Support Team is responsible for receiving and documenting deletion requests."
"What types of personal data are covered by the deletion procedure?","The procedure applies to customer, employee, and vendor representative personal data."
"How does AcmeTech comply with GDPR data deletion requirements?","AcmeTech uses its Customer Privacy Policy and Data Deletion Procedure to implement GDPR Article 17 requirements."
"What happens after a deletion request is submitted?","The request is documented, reviewed by the Data Protection Officer, and then processed according to company procedures."
"Which policy supports GDPR Article 17 compliance?","The Customer Privacy Policy supports compliance with GDPR Article 17."
"Which procedure implements customer data deletion requirements?","The Data Deletion Procedure implements customer data deletion requirements."
"What customer rights are recognized by AcmeTech?","Customers have rights such as accessing, correcting, and requesting deletion of their personal information."
"How are privacy regulations connected to operational procedures?","GDPR requirements are implemented through company policies and operational procedures such as the Data Deletion Procedure."
"What relationship exists between GDPR Article 17 and the Data Deletion Procedure?","GDPR Article 17 establishes the right to erasure, while the Data Deletion Procedure operationalizes that requirement within AcmeTech."
"How does AcmeTech ensure deletion requests are compliant with regulations?","Deletion requests are reviewed by the Data Protection Officer and processed according to established procedures."
"Which documents govern customer data deletion?","Customer data deletion is governed by GDPR Article 17, the Customer Privacy Policy, and the Data Deletion Procedure."
"Explain the compliance chain for customer data deletion.","GDPR Article 17 provides the regulatory requirement, the Customer Privacy Policy establishes organizational policy, and the Data Deletion Procedure defines operational execution."
